Client	Task	AM	AE	Due	Status	Source
Superdry	FAQ AI description test — share drafts for approval, then run live for 3 weeks	Ray		14/08/2026	open	ACS
Superdry	Share Strategy Review deck + FAQ description samples	Ray		14/08/2026	open	ACS
Superdry	Follow-up call — review image overlays + beta features	Ray		21/08/2026	open	ACS
Superdry	Image overlay test (Social + PPC) — promo highlighting without affecting price visibility	Ray		30/09/2026	open	ACS
Superdry	Custom label 2 — new process to auto-populate missing values	Ray			open	ACS
Superdry	GPC / catalogue mapping review — keep gender out of GPC, carry it in product_type	Ray			open	ACS
Superdry	Conversational attributes build — item_group_title, variant_option, popularity_rank	Ray			open	ACS
Superdry	Image analysis — develop for attribute harvest	Ray			open	ACS
Superdry	Tachyon AI — rewrite titles + descriptions at scale using image data	Ray			open	ACS
Superdry	ROAS intelligence / spend optimiser — implement before peak season	Ray			open	ACS
Superdry	Landing-page optimisation — route traffic to category pages	Ray			open	ACS
Superdry	New Google LLM attributes — Q&A, related products, relative importance (AI-populated)	Ray			open	ACS
Superdry	Product-level variants — submit width as a separate variant	Ray			open	ACS
Superdry	Keyword saturation — lift from 60-70% to the 80-90% target	Ray			open	ACS
Superdry	Hero-size rule — treat hero sizes as regular sizes so sale inventory is not blocked	Ray			open	ACS
Superdry	Monthly catch-up cadence — standing call to prioritise work	Ray			open	ACS
Superdry	Agency + Matt calls — finalise priorities and onboard the dashboard	Ray			open	ACS
Superdry	Dashboard onboarding — surface platform data intelligence to the client	Ray			open	ACS
