wh,,,,,,,,,
,YuMOVE  Project Plan,,Account Name,,,Simon/ Natalie,,12 Hours/ Month,One Off 24 hours
,,,Account Managers,,,Ray/ Ezgi,,FY starts Jan,
,,,Month starts,,,1st,,,
,,YuMOVE,,,,,,,
,,Feedspark,,,,,,,
,,,,,,,,,
,,Areas to optimise / Actions,TASK OWNER,Prioritise,Time Required,STATUS,Notes,,
,,,,,,,,,
,1,Onboarding Meeting : 28.August.2024,,,,,,,
,1.1,"[Action] Provide access to Lucia, email group, and FeedHero platform",Michel ,,,Completed,,,
,1.2,Products to launch and optimize: 84 SKUs,FeedSpark,3rd of September 2024,,In Progress,,,
,1.3,[Action] Monitor account and ensure all products are approved by Google Shopping,May / Matt,,,Open,,,
,1.4,[Action] Review shipping rules post-launch to ensure free shipping annotation for products over £39,Charles,,,Open,,,
,1.5,Review custom labels,Steven,,,Awaiting Response,,,
,1.6,Conduct product type audit,Adriana,,,Open,,,
,1.7,Review Google product categories,Alex ,,,Open,,,
,1.8,Review and optimise titles + A/B tests,Harry ,,,Open,,,
,1.9,Keyword optimisation,Sara,,,Open,,,
,2,,,,,,,,
,2.1,Action: Arrange FeedHero platform demo for Kinase,May,,,Open,,,
,2.2,"Weekly meetings to start, beginning September 4th at 3:00 PM (recurring)",Michel / May / Matt,,,Completed,,,
,3,Catch Up Call 03.09.2004,,,,,,,
,3.1,"Shopify API: Switch off the Shopify API on Monday, September 9, 2024.",Matt,,,Completed,,,
,3.2,Product IDs: Investigate discrepancy between product IDs in the Shopify feed and the IR feed.,MIchel,,,Completed,,,
,3.3,IR Feed IDs: Confirm the use of IR feed IDs internally and for Google Ads.,Michel,,,,,,
,3.4,Current custom labels:  CL2 as product types and CL1 for the entire feed.,Sara,,,,,,
,3.5,Meeting on Friday 06.09.24 to revire at 2:00 PM,Michel,,,Completed,,,
,4,Catch Up Call 06.09.2004,,,,,,,
,4.1,Data Being imported for Masterfeed and sideloading of Shopify data,Michel,,,Completed,,,
,4.2,Set date for next meeting on Monday the 9th,Michel,,,Completed,,,
,5,Catch Up Call 11.09.2004,,,,,,,
,5.1,Ensure white background images with packet view to be used as leading image,,,,Completed,,,
,5.2,YuMove track Google Ad's expected impresions after it's live ,,,,In Progress,,,
,5.3,Shopify API to be removed after Google Ad's live ,,,,Completed,,,
,5.4,YuMove to set CL1 a static value through all products,,,,Completed,,,
,5.5,FS to remove subscribe and save products,,,,Completed,,,
,5.6,FS set a rule that establishes that CL1 equals to IR,,,,Completed,,,
,5.7,Ensure brand consitency as YuMove no Lintbells should be displayed,,,,Completed,,,
,5.8,Launch expected for today Septemper 12,,,,Completed,,,
,5.9,Next meeting Wednesday the 18th,,,,Completed,,,
,6,Catch Up Call 18.09.2004,,,,,,,
,6.1,YuMove to monitor traffic increases ,Client,,,In Progress,,,
,6.2,YuMove to monitor the correct images keep showing,Client,,,In Progress,,,
,6.3,Sale on the 27th ensure price matches,FS team,,,Open,,,
,6.4,Next meeting Wednesday the 25th,,,,,,,
,7,Catch Up Call 25.09.2004,,,,,,,
,7.1,Image testing – not image cycle testing -> Testing on Dental or Digestive -> we're using Lifestyle (leash) only,Sarah,High Prio,30/09/2024,Completed,,,
,7.2,SALE prices being pulled in - (check Simon linelist) - Jointcare/ Digestive will be on discounted ,Ray,High Prio,30/10/2024,In Progress,,,
,7.3,AB Test - Idea 1: Multiple health benefits vs. 1 (For aloepecia | hair falling out | furless) - Keywords Optimisation (invisible to users),Michel,High Prio,30/09/2024,Open,,,
,7.4,AB Test - Idea 2: Titles test to conclude breed concerns vs. None,Ray/ SImon,High Prio,21/10/2024,Open,,,
,7.5,Benefits tagging -> Using existing website's health claims (Joint Care/ Dental/ Calming/ Skin&Coat/ Digestive) - to highlights,Simon / Michel,High Prio,30/09/2024,Completed,,,
,7.6,"Custom Label structure: (Top Performers, Seasonality ?, Zombie 0 impr, Low Perfomer, Margin)",Simon/ Ray,Medium,,Open,,,
,7.7,Alternative lifestyle images per categories - FS to propose test methodology,Ray,Medium,,Open,,,
,7.8,(Subcription) messaging -> Find Google support - look for pharma / supplement categories,Michel,Medium,,Open,,,
,7.9,Dog size testing - align with Top Perfomer CL strategy to extract data,Ray/ Lucia,Medium,01/11/2024,Open,,,
,7.1*,Margin band - work out for BAU vs. Sale,Michel/ Lucia,Medium,10/01/2025,Open,,,
,7.11,FS to start Title Doc strategy for not allowed Claims,Michel,Medium,30/09/2024,Open,,,
,7,Catch Up Call 25.09.2004,,,,,,,
,,Testing lifestyle -> FS to host images and run AB Test -- ,Ray,,17/10/2024,In Progress,,,
,,AB Test - Idea 1: Multiple health benefits vs. 1 (For aloepecia | hair falling out | furless) - Keywords Optimisation (invisible to users) - Joint check analysis,Michel,High Prio,01/11/2024,Completed,,,
,,AB Test - Idea 2: Titles test to conclude breed concerns vs. None,Ray/ SImon,High Prio,21/10/2024,In Progress,,,
,,PT: AJoints - Human & Animals to split out,Lucia,,,Completed,,,
,,Lucia to use PT to breakdown camapign,Lucia,,,Completed,,,
,,FS to share Pharm certificate / Simon to fill out,Ray,,18/10/2024,Postponed,,,
,,Sale tomorrow ! Check sale prices and add 30% blanket rule,Michel,,17/10/2024,Completed,,,
,,FS to scrape on the house on sale price,Ray,,,Completed,,,
,7,Catch Up Call 30.10.2004,,,,,,,
,,FS to review Description for the catalogue and porpose solution,Michel,,22/11/2024,In Progress,,,
,,FS to roll out Title Structure - [Brand] [Titles] - [Size] - Across catalogu,Michel,,22/11/2024,Completed,,,
,,Next sale: BF & CM - 22nd nov - 2nd dec - FS to check sale prices,Sara,,22/11/2024,Open,,,
,,FS to embed BF keywords,Sara,,20/11/2024,Completed,,,
,,Testing lifestyle -> FS to host images and run AB Test - check list,Ray,,20/11/2024,In Progress,,,
,,,,,,,,,
,7,Testing Plan & Q1/25,,,,,,,
,Content,AB Title Test - Dog concern at the start of the title +more customer friendly copy,Michel,,04/12/2024,Completed,,,
,,Social feed - to reopen conversation,Simon,,01/01/2025,Open,,,
,,Sale prep next steps - 03rd Dec - FS to remove sale prices on 12:30 AM 3rd morning,Ray,,,Completed,,,
,,Campaign idea: only push lowest price variant / Luaica to confirm PMAX vs. Shopping Campaign - FS has set out szie variant on feed ,Lucia,,12/03/2024,In Progress,,,
,,Status - check description being pulled are usable ,Michel,High Prio,,In Progress,,,
,Content,AB Test status - pet issues (End) to check with Michel,Michel,,,Completed,,,
,Content,AB Test status - pet issues (Front) to check with Michel,Michel,High Prio,,Completed,,,
,,SUBCRIPTION manual ID - to fenerate to highligth subcription model - after we check Merchant Promotion type on Google,Ray/ Simon,,05/01/2025,Open,,,
,,to use for BIng: https://s3.feedhero.net/output_feeds/gb/yumove_uk/b4260c0c6c71beb9db92d2ff5eb944c2/yumove_uk_gb_output.xml,Lucia/ Simon,High Prio,,Open,,,
,Content,A/ B Test description,,,,In Progress,,,
,,,,,,,,,
,Subcription,Explore subscription switch method,Matt,,,Completed,,,
,,Scrape all 4 prices (was/now pricing) - PAYG & SUB,Ray,,,In Progress,,,
,,YM to send subscription/ bulk / PAYG price for all product IDs,Ruma,,,Completed,,,
,,"YM to add microdata for all price variants + SKUs in the ""Offers"" section",Ruma,,,Completed,,,
,,FS still need to scrape sale prices for the products,Ray/ ASPL,,,In Progress,,,
,,Actions - Dec/24,,,,,,,
,,Switch back to full price 12:05AM (1/1/25),Ray,,,Completed,,,
,,Actions - Jan/25,,,,,,,
,,Image Cycler - lifestyle vs. Default e-commerce - Analysis ,Ray,HIgh Prio,03/02/2025,In Progress,,,
,,Small Variant bidding - using Custom Labels ,Ray,,,Completed,,,
,SOCIAL,Intro with Chris & WoW,Ray/ Michel,,,In Progress,,,
,,Add  product highlights into feed,Michel,,03/02/2025,Completed,,,
,,Explore options for presenting subscription models,Ray,HIgh Prio,03/02/2025,Open,,,
,,"   A: Add a title (e.g., ""SUB starts from"").",,,,,,,
,,   B: Create sub PDP - link sub price Ads towards this link (but keeping PAYG option),,,,,,,
,,   C: Create sub SKUs - running parallel with PAYG products,,,,,,,
,,Check parameters for forcing the subscription PDP prices,Ray/ Matt,,22/01/2025,Completed,,,
,,Promo 25% off PAYG products. 28/01-31/01 ,Michel/ Sara,,28/01/2025,Completed,,,
,,YUM MEGA Title Test: MultiVits vs. Multivitamins (Batch Creation),Michel/ Sara,,31.01.2025,In Progress,,,
,,Actions - Feb/25,,,,,,,
,ORGANIC,Description testing: Strucutred bullet points vs. Paragraphs,Ray/ Michel,,,Open,,,
,ORGANIC,GMC Rating KPI:,,,,,,,
,,   Website Speed Desktop,YM team,,,Open,,,
,,   Website Speed Mobile,YM team,,,Open,,,
,,   Store Rating,YM team,,,Open,,,
,,   High Resolution images,YM team,,,Open,,,
,,   Return Windows,YM team,,,Open,,,
,ORGANIC,Short Title: optimising 70 characters version of Google Shopping title.,Ray,,19/09/2025,Completed,,,
,,Actions - Mar/25,,,,,,,
,,CRUFTS  dog show - up to 60% - 6th Mar - 14th Mar ,Ray,High,00:00 05-Mar,Completed,,,
,,Small Variant bidding - using Custom Labels ,Ray,Med,,Completed,,,
,,SUB pricing via Micro-data: https://developers.google.com/search/docs/appearance/structured-data/merchant-listing,Ray,High,,Completed,,,
,SOCIAL,"Title Optimisation - < 65 char - Remove Brand, Add Size ",Michel,,,Completed,,,
,SOCIAL,"Setting up Custom Label (Joints, Dental, Digestive)",Michel,,,Completed,,,
,SOCIAL,"Image Optimisation - pad to 9:16 version -> High Prio, although it's at extra fee but I think it's crucial to Social platform",Ray,High,,Completed,,,
,SOCIAL,"A/B Image Test - lifestyle versus box-I image -> Similar to PPC, I've attached the analysis deck from PPC for you to read through",Ray,,,Completed,,,
,,Actions - April/25,,,,,,,
,,Box-I only image to be pushed on Shopping,Michel,,,Completed,,,
